subject_number	image_id	region	dvFix	fCentr	fLumin
201.0000000000	106	1.0000000000	0.0000000000	0.9712645695	0.4843371105
201.0000000000	106	2.0000000000	0.0000000000	0.9350233460	0.4849557240
201.0000000000	106	3.0000000000	0.0000000000	0.8881112085	0.5671797532
201.0000000000	106	4.0000000000	0.0000000000	0.8532745578	0.6570814537
201.0000000000	106	5.0000000000	0.0000000000	0.8534742762	0.7922081556
201.0000000000	106	6.0000000000	0.0000000000	0.8885674864	0.8008654547
201.0000000000	106	7.0000000000	0.0000000000	0.9354643657	0.7795723298
201.0000000000	106	8.0000000000	0.0000000000	0.9715372510	0.6815138205
201.0000000000	106	9.0000000000	0.0000000000	0.9037579109	0.4895187607
201.0000000000	106	10.0000000000	1.0000000000	0.7823770577	0.3951103893
201.0000000000	106	11.0000000000	0.0000000000	0.6252566648	0.5551276373
201.0000000000	106	12.0000000000	0.0000000000	0.5085800746	0.5387941381
201.0000000000	106	13.0000000000	0.0000000000	0.5092489814	0.8820584902
201.0000000000	106	14.0000000000	0.0000000000	0.6267848527	0.9835190302
201.0000000000	106	15.0000000000	0.0000000000	0.7838541419	0.9584912916
201.0000000000	106	16.0000000000	0.0000000000	0.9046711887	0.8805727257
201.0000000000	106	17.0000000000	1.0000000000	0.8241344072	0.2937494817
201.0000000000	106	18.0000000000	0.0000000000	0.6023321180	0.3498480912
201.0000000000	106	19.0000000000	1.0000000000	0.3152220679	0.5428797272
201.0000000000	106	20.0000000000	1.0000000000	0.1020159967	0.5614616415
201.0000000000	106	21.0000000000	0.0000000000	0.1032383070	0.5741692947
201.0000000000	106	22.0000000000	1.0000000000	0.3180145640	0.7560586292
201.0000000000	106	23.0000000000	1.0000000000	0.6050312311	0.9224724605
201.0000000000	106	24.0000000000	0.0000000000	0.8258032627	0.9448168642
201.0000000000	106	25.0000000000	1.0000000000	0.8246663706	0.2249360431
201.0000000000	106	26.0000000000	0.0000000000	0.6035349955	0.4311327648
201.0000000000	106	27.0000000000	1.0000000000	0.3172934042	0.5835946835
201.0000000000	106	28.0000000000	1.0000000000	0.1047322450	0.4368773207
201.0000000000	106	29.0000000000	1.0000000000	0.1059508580	0.4285818160
201.0000000000	106	30.0000000000	0.0000000000	0.3200774535	0.6253338944
201.0000000000	106	31.0000000000	0.0000000000	0.6062259442	0.7136861447
201.0000000000	106	32.0000000000	0.0000000000	0.8263301781	0.6483920248
201.0000000000	106	33.0000000000	0.0000000000	0.9046286195	0.1320849429
201.0000000000	106	34.0000000000	1.0000000000	0.7843459070	0.2094335473
201.0000000000	106	35.0000000000	0.0000000000	0.6286469927	0.3457487840
201.0000000000	106	36.0000000000	0.0000000000	0.5130259834	0.4956873131
201.0000000000	106	37.0000000000	0.0000000000	0.5136888386	0.6699099632
