	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
60	201	1	4	111	1	1	407.3	295.6	619
61	201	1	4	111	0	2	366.7	281.9	189
62	201	1	4	111	0	3	189.2	438.1	143
63	201	1	4	111	0	4	205.4	398.3	189
64	201	1	4	111	0	5	43.3	371.3	173
65	201	1	4	111	0	6	200.1	394.9	429
66	201	1	4	111	0	7	203.2	420.2	96
67	201	1	4	111	0	8	202.8	404.2	342
68	201	1	4	111	0	9	116.6	551.3	286
69	201	1	4	111	0	10	526.0	441.0	205
70	201	1	4	111	0	11	572.5	278.4	265
71	201	1	4	111	0	12	354.4	469.0	224
72	201	1	4	111	0	13	558.7	435.1	132
73	201	1	4	111	0	14	705.8	451.2	212
74	201	1	4	111	0	15	724.7	350.1	311
75	201	1	4	111	0	16	744.5	217.8	52
76	201	1	4	111	0	17	746.0	176.9	79
77	201	1	4	111	0	18	703.7	389.2	157
78	201	1	4	111	0	19	708.9	360.1	89
79	201	1	4	111	0	20	596.5	151.1	278
80	201	1	4	111	0	21	739.7	79.9	200
81	201	1	4	111	0	22	726.7	45.9	105
82	201	1	4	111	0	23	759.2	172.1	208
83	201	1	4	111	2	24	355.5	398.1	174
170	201	1	9	37	1	1	404.8	309.5	516
171	201	1	9	37	0	2	266.8	200.7	63
172	201	1	9	37	0	3	185.0	223.9	236
173	201	1	9	37	0	4	197.2	152.4	247
174	201	1	9	37	0	5	112.5	344.0	387
175	201	1	9	37	0	6	80.1	381.5	215
176	201	1	9	37	0	7	75.9	162.2	206
177	201	1	9	37	0	8	62.1	109.4	211
178	201	1	9	37	0	9	426.7	232.0	322
179	201	1	9	37	0	10	542.6	238.4	199
180	201	1	9	37	0	11	547.5	268.0	154
181	201	1	9	37	0	12	520.3	234.3	348
182	201	1	9	37	0	13	593.6	252.2	181
183	201	1	9	37	0	14	757.0	304.0	250
184	201	1	9	37	0	15	530.6	233.5	265
185	201	1	9	37	0	16	730.7	423.3	454
186	201	1	9	37	0	17	699.2	397.6	129
187	201	1	9	37	0	18	736.6	464.3	278
188	201	1	9	37	0	19	468.2	283.5	116
189	201	1	9	37	2	20	508.0	249.1	323
603	201	1	30	9	1	1	412.8	296.4	769
604	201	1	30	9	0	2	306.7	353.4	230
605	201	1	30	9	0	3	289.8	404.9	179
606	201	1	30	9	0	4	522.4	165.3	203
607	201	1	30	9	0	5	554.7	146.8	1177
608	201	1	30	9	0	6	259.3	153.7	281
609	201	1	30	9	0	7	128.3	286.2	285
610	201	1	30	9	0	8	73.8	278.4	189
611	201	1	30	9	0	9	57.2	273.5	269
